Frame Number,Time Stamp (ms),Buffer Index
0,-27,0
1,8,0
2,40,0
3,73,0
4,107,0
5,140,0
6,174,0
7,209,0
8,241,0
9,274,0
10,308,0
11,342,0
12,377,0
13,408,0
14,442,0
15,477,0
16,509,0
17,544,0
18,577,0
19,610,0
20,645,0
21,677,0
22,710,0
23,745,0
24,778,0
25,811,0
26,845,0
27,878,0
28,912,0
29,946,0
30,979,0
31,1012,0
32,1047,0
33,1081,0
34,1114,0
35,1148,0
36,1183,0
37,1214,0
38,1248,0
39,1284,0
40,1315,0
41,1349,0
42,1384,0
43,1416,0
44,1451,0
45,1485,0
46,1517,0
47,1551,0
48,1585,0
49,1617,0
50,1653,0
51,1686,0
52,1719,0
53,1753,0
54,1786,0
55,1820,0
56,1854,0
57,1887,0
58,1921,0
59,1954,0
60,1988,0
61,2021,0
62,2055,0
63,2088,0
64,2122,0
65,2155,0
66,2189,0
67,2223,0
68,2255,0
69,2289,0
70,2322,0
71,2356,0
72,2390,0
73,2423,0
74,2457,0
75,2491,0
76,2524,0
77,2557,0
78,2592,0
79,2624,0
80,2657,0
81,2692,0
82,2726,0
83,2759,0
84,2793,0
85,2826,0
86,2859,0
87,2893,0
88,2926,0
89,2960,0
90,2994,0
91,3027,0
92,3061,0
93,3094,0
94,3128,0
95,3161,0
96,3195,0
97,3229,0
98,3263,0
99,3296,0
100,3330,0
101,3362,0
102,3396,0
103,3430,0
104,3464,0
105,3497,0
106,3532,0
107,3563,0
108,3599,0
109,3634,0
110,3665,0
111,3702,0
112,3735,0
113,3767,0
114,3802,0
115,3835,0
116,3867,0
117,3902,0
118,3936,0
119,3969,0
120,4003,0
121,4036,0
122,4069,0
123,4103,0
124,4136,0
125,4170,0
126,4204,0
127,4237,0
128,4270,0
129,4305,0
130,4338,0
131,4371,0
132,4404,0
133,4438,0
134,4471,0
135,4505,0
136,4539,0
137,4572,0
138,4606,0
139,4639,0
140,4672,0
141,4706,0
142,4740,0
143,4773,0
144,4806,0
145,4841,0
146,4874,0
147,4907,0
148,4942,0
149,4974,0
150,5008,0
151,5041,0
152,5074,0
153,5108,0
154,5142,0
155,5175,0
156,5209,0
157,5243,0
158,5276,0
159,5310,0
160,5344,0
161,5378,0
162,5410,0
163,5444,0
164,5478,0
165,5512,0
166,5545,0
167,5579,0
168,5612,0
169,5646,0
170,5681,0
171,5712,0
172,5747,0
173,5781,0
174,5814,0
175,5849,0
176,5882,0
177,5914,0
178,5952,0
179,5982,0
180,6016,0
181,6050,0
182,6083,0
183,6117,0
184,6152,0
185,6184,0
186,6218,0
187,6252,0
188,6285,0
189,6319,0
190,6354,0
191,6386,0
192,6419,0
193,6453,0
194,6487,0
195,6520,0
196,6554,0
197,6587,0
198,6620,0
199,6654,0
200,6688,0
201,6721,0
202,6754,0
203,6788,0
204,6822,0
205,6855,0
206,6889,0
207,6922,0
208,6956,0
209,6990,0
210,7023,0
211,7058,0
212,7090,0
213,7123,0
214,7156,0
215,7191,0
216,7223,0
217,7257,0
218,7291,0
219,7325,0
220,7358,0
221,7392,0
222,7426,0
223,7459,0
224,7492,0
225,7527,0
226,7560,0
227,7593,0
228,7627,0
229,7660,0
230,7694,0
231,7728,0
232,7761,0
233,7796,0
234,7829,0
235,7862,0
236,7896,0
237,7930,0
238,7962,0
239,7997,0
240,8031,0
241,8062,0
242,8098,0
243,8131,0
244,8164,0
245,8200,0
246,8232,0
247,8265,0
248,8300,0
249,8332,0
250,8368,0
251,8401,0
252,8434,0
253,8467,0
254,8501,0
255,8535,0
256,8568,0
257,8601,0
258,8636,0
259,8669,0
260,8702,0
261,8737,0
262,8769,0
263,8803,0
264,8837,0
265,8871,0
266,8904,0
267,8937,0
268,8971,0
269,9005,0
270,9038,0
271,9071,0
272,9105,0
273,9138,0
274,9171,0
275,9205,0
276,9240,0
277,9272,0
278,9305,0
279,9339,0
280,9375,0
281,9406,0
282,9440,0
283,9474,0
284,9507,0
285,9542,0
286,9575,0
287,9607,0
288,9641,0
289,9675,0
290,9708,0
291,9743,0
292,9777,0
293,9808,0
294,9843,0
295,9876,0
296,9910,0
297,9945,0
298,9978,0
299,10010,0
300,10045,0
301,10078,0
302,10111,0
303,10146,0
304,10178,0
305,10211,0
306,10246,0
307,10280,0
308,10313,0
309,10348,0
310,10380,0
311,10414,0
312,10448,0
313,10481,0
314,10514,0
315,10548,0
316,10583,0
317,10617,0
318,10649,0
319,10684,0
320,10717,0
321,10749,0
322,10785,0
323,10818,0
324,10850,0
325,10885,0
326,10919,0
