,Region name,Object count
0,Clear Label,0
1,root,0
2,Basic cell groups and regions,0
3,Cerebrum,0
4,Cerebral cortex,0
5,Cortical plate,0
6,Isocortex,0
7,"Frontal pole, cerebral cortex",0
8,"Frontal pole, layer 1",0
9,"Frontal pole, layer 2/3",0
10,"Frontal pole, layer 5",0
11,"Frontal pole, layer 6a",0
12,"Frontal pole, layer 6b",0
13,Somatomotor areas,0
14,"Somatomotor areas, Layer 1",0
15,"Somatomotor areas, Layer 2/3",0
16,"Somatomotor areas, Layer 5",0
17,"Somatomotor areas, Layer 6a",0
18,"Somatomotor areas, Layer 6b",0
19,Primary motor area,0
20,"Primary motor area, Layer 1",0
21,"Primary motor area, Layer 2/3",0
22,"Primary motor area, Layer 5",0
23,"Primary motor area, Layer 6a",0
24,"Primary motor area, Layer 6b",0
25,Secondary motor area,0
26,"Secondary motor area, layer 1",0
27,"Secondary motor area, layer 2/3",0
28,"Secondary motor area, layer 5",0
29,"Secondary motor area, layer 6a",0
30,"Secondary motor area, layer 6b",0
31,Somatosensory areas,0
32,"Somatosensory areas, layer 1",0
33,"Somatosensory areas, layer 2/3",0
34,"Somatosensory areas, layer 4",0
35,"Somatosensory areas, layer 5",0
36,"Somatosensory areas, layer 6a",0
37,"Somatosensory areas, layer 6b",0
38,Primary somatosensory area,0
39,"Primary somatosensory area, layer 1",0
40,"Primary somatosensory area, layer 2/3",0
41,"Primary somatosensory area, layer 4",0
42,"Primary somatosensory area, layer 5",0
43,"Primary somatosensory area, layer 6a",0
44,"Primary somatosensory area, layer 6b",0
45,"Primary somatosensory area, nose",0
46,"Primary somatosensory area, nose, layer 1",0
47,"Primary somatosensory area, nose, layer 2/3",0
48,"Primary somatosensory area, nose, layer 4",0
49,"Primary somatosensory area, nose, layer 5",0
50,"Primary somatosensory area, nose, layer 6a",0
51,"Primary somatosensory area, nose, layer 6b",0
52,"Primary somatosensory area, barrel field",0
53,"Primary somatosensory area, barrel field, layer 1",0
54,"Primary somatosensory area, barrel field, layer 2/3",0
55,"Primary somatosensory area, barrel field, layer 4",0
56,"Primary somatosensory area, barrel field, layer 5",0
57,"Primary somatosensory area, barrel field, layer 6a",0
58,"Primary somatosensory area, barrel field, layer 6b",0
59,Rostrolateral lateral visual area,0
60,"Rostrolateral lateral visual area, layer 1",0
61,"Rostrolateral lateral visual area, layer 2/3",0
62,"Rostrolateral lateral visual area, layer 4",0
63,"Rostrolateral lateral visual area,layer 5",0
64,"Rostrolateral lateral visual area, layer 6a",0
65,"Rostrolateral lateral visual area, layer 6b",0
66,"Primary somatosensory area, lower limb",0
67,"Primary somatosensory area, lower limb, layer 1",0
68,"Primary somatosensory area, lower limb, layer 2/3",0
69,"Primary somatosensory area, lower limb, layer 4",0
70,"Primary somatosensory area, lower limb, layer 5",0
71,"Primary somatosensory area, lower limb, layer 6a",0
72,"Primary somatosensory area, lower limb, layer 6b",0
73,"Primary somatosensory area, mouth",0
74,"Primary somatosensory area, mouth, layer 1",0
75,"Primary somatosensory area, mouth, layer 2/3",0
76,"Primary somatosensory area, mouth, layer 4",0
77,"Primary somatosensory area, mouth, layer 5",0
78,"Primary somatosensory area, mouth, layer 6a",0
79,"Primary somatosensory area, mouth, layer 6b",0
80,"Primary somatosensory area, upper limb",0
81,"Primary somatosensory area, upper limb, layer 1",0
82,"Primary somatosensory area, upper limb, layer 2/3",0
83,"Primary somatosensory area, upper limb, layer 4",0
84,"Primary somatosensory area, upper limb, layer 5",1
85,"Primary somatosensory area, upper limb, layer 6a",0
86,"Primary somatosensory area, upper limb, layer 6b",0
87,"Primary somatosensory area, trunk",0
88,"Primary somatosensory area, trunk, layer 1",0
89,"Primary somatosensory area, trunk, layer 2/3",0
90,"Primary somatosensory area, trunk, layer 4",0
91,"Primary somatosensory area, trunk, layer 5",0
92,"Primary somatosensory area, trunk, layer 6a",0
93,"Primary somatosensory area, trunk, layer 6b",0
94,"Primary somatosensory area, unassigned",0
95,"Primary somatosensory area, unassigned, layer 1",0
96,"Primary somatosensory area, unassigned, layer 2/3",0
97,"Primary somatosensory area, unassigned, layer 4",0
98,"Primary somatosensory area, unassigned, layer 5",0
99,"Primary somatosensory area, unassigned, layer 6a",0
100,"Primary somatosensory area, unassigned, layer 6b",0
101,Supplemental somatosensory area,0
102,"Supplemental somatosensory area, layer 1",0
103,"Supplemental somatosensory area, layer 2/3",0
104,"Supplemental somatosensory area, layer 4",0
105,"Supplemental somatosensory area, layer 5",0
106,"Supplemental somatosensory area, layer 6a",0
107,"Supplemental somatosensory area, layer 6b",0
108,Gustatory areas,0
109,"Gustatory areas, layer 1",0
110,"Gustatory areas, layer 2/3",0
111,"Gustatory areas, layer 4",0
112,"Gustatory areas, layer 5",0
113,"Gustatory areas, layer 6a",0
114,"Gustatory areas, layer 6b",0
115,Visceral area,0
116,"Visceral area, layer 1",0
117,"Visceral area, layer 2/3",0
118,"Visceral area, layer 4",0
119,"Visceral area, layer 5",0
120,"Visceral area, layer 6a",0
121,"Visceral area, layer 6b",0
122,Auditory areas,0
123,Dorsal auditory area,0
124,"Dorsal auditory area, layer 1",0
125,"Dorsal auditory area, layer 2/3",0
126,"Dorsal auditory area, layer 4",0
127,"Dorsal auditory area, layer 5",0
128,"Dorsal auditory area, layer 6a",0
129,"Dorsal auditory area, layer 6b",0
130,Laterolateral anterior visual area,0
131,"Laterolateral anterior visual area, layer 1",0
132,"Laterolateral anterior visual area, layer 2/3",0
133,"Laterolateral anterior visual area, layer 4",0
134,"Laterolateral anterior visual area,layer 5",0
135,"Laterolateral anterior visual area, layer 6a",0
136,"Laterolateral anterior visual area, layer 6b",0
137,Primary auditory area,0
138,"Primary auditory area, layer 1",0
139,"Primary auditory area, layer 2/3",0
140,"Primary auditory area, layer 4",0
141,"Primary auditory area, layer 5",0
142,"Primary auditory area, layer 6a",0
143,"Primary auditory area, layer 6b",0
144,Posterior auditory area,0
145,"Posterior auditory area, layer 1",0
146,"Posterior auditory area, layer 2/3",0
147,"Posterior auditory area, layer 4",0
148,"Posterior auditory area, layer 5",0
149,"Posterior auditory area, layer 6a",0
150,"Posterior auditory area, layer 6b",0
151,Ventral auditory area,0
152,"Ventral auditory area, layer 1",0
153,"Ventral auditory area, layer 2/3",0
154,"Ventral auditory area, layer 4",0
155,"Ventral auditory area, layer 5",0
156,"Ventral auditory area, layer 6a",0
157,"Ventral auditory area, layer 6b",0
158,Visual areas,0
159,"Visual areas, layer 1",0
160,"Visual areas, layer 2/3",0
161,"Visual areas, layer 4",0
162,"Visual areas, layer 5",0
163,"Visual areas, layer 6a",0
164,"Visual areas, layer 6b",0
165,Anterolateral visual area,0
166,"Anterolateral visual area, layer 1",0
167,"Anterolateral visual area, layer 2/3",0
168,"Anterolateral visual area, layer 4",0
169,"Anterolateral visual area, layer 5",0
170,"Anterolateral visual area, layer 6a",0
171,"Anterolateral visual area, layer 6b",0
172,Anteromedial visual area,0
173,"Anteromedial visual area, layer 1",0
174,"Anteromedial visual area, layer 2/3",0
175,"Anteromedial visual area, layer 4",0
176,"Anteromedial visual area, layer 5",0
177,"Anteromedial visual area, layer 6a",0
178,"Anteromedial visual area, layer 6b",0
179,Lateral visual area,0
180,"Lateral visual area, layer 1",0
181,"Lateral visual area, layer 2/3",0
182,"Lateral visual area, layer 4",0
183,"Lateral visual area, layer 5",0
184,"Lateral visual area, layer 6a",0
185,"Lateral visual area, layer 6b",0
186,Primary visual area,0
187,"Primary visual area, layer 1",0
188,"Primary visual area, layer 2/3",0
189,"Primary visual area, layer 4",0
190,"Primary visual area, layer 5",0
191,"Primary visual area, layer 6a",0
192,"Primary visual area, layer 6b",0
193,Posterolateral visual area,0
194,"Posterolateral visual area, layer 1",0
195,"Posterolateral visual area, layer 2/3",0
196,"Posterolateral visual area, layer 4",0
197,"Posterolateral visual area, layer 5",0
198,"Posterolateral visual area, layer 6a",0
199,"Posterolateral visual area, layer 6b",0
200,posteromedial visual area,0
201,"posteromedial visual area, layer 1",0
202,"posteromedial visual area, layer 2/3",0
203,"posteromedial visual area, layer 4",0
204,"posteromedial visual area, layer 5",0
205,"posteromedial visual area, layer 6a",0
206,"posteromedial visual area, layer 6b",0
207,Laterointermediate area,0
208,"Laterointermediate area, layer 1",0
209,"Laterointermediate area, layer 2/3",0
210,"Laterointermediate area, layer 4",0
211,"Laterointermediate area, layer 5",0
212,"Laterointermediate area, layer 6a",0
213,"Laterointermediate area, layer 6b",0
214,Postrhinal area,0
215,"Postrhinal area, layer 1",0
216,"Postrhinal area, layer 2/3",0
217,"Postrhinal area, layer 4",0
218,"Postrhinal area, layer 5",0
219,"Postrhinal area, layer 6a",0
220,"Postrhinal area, layer 6b",0
221,Anterior cingulate area,0
222,"Anterior cingulate area, layer 1",0
223,"Anterior cingulate area, layer 2/3",0
224,"Anterior cingulate area, layer 5",0
225,"Anterior cingulate area, layer 6a",0
226,"Anterior cingulate area, layer 6b",0
227,"Anterior cingulate area, dorsal part",0
228,"Anterior cingulate area, dorsal part, layer 1",0
229,"Anterior cingulate area, dorsal part, layer 2/3",0
230,"Anterior cingulate area, dorsal part, layer 5",0
231,"Anterior cingulate area, dorsal part, layer 6a",0
232,"Anterior cingulate area, dorsal part, layer 6b",0
233,"Anterior cingulate area, ventral part",0
234,"Anterior cingulate area, ventral part, layer 1",0
235,"Anterior cingulate area, ventral part, layer 2/3",0
236,"Anterior cingulate area, ventral part, layer 5",0
237,"Anterior cingulate area, ventral part, 6a",0
238,"Anterior cingulate area, ventral part, 6b",0
239,Prelimbic area,0
240,"Prelimbic area, layer 1",0
241,"Prelimbic area, layer 2",0
242,"Prelimbic area, layer 2/3",0
243,"Prelimbic area, layer 5",0
244,"Prelimbic area, layer 6a",0
245,"Prelimbic area, layer 6b",0
246,Infralimbic area,0
247,"Infralimbic area, layer 1",0
248,"Infralimbic area, layer 2",0
249,"Infralimbic area, layer 2/3",0
250,"Infralimbic area, layer 5",0
251,"Infralimbic area, layer 6a",0
252,"Infralimbic area, layer 6b",0
253,Orbital area,0
254,"Orbital area, layer 1",0
255,"Orbital area, layer 2/3",0
256,"Orbital area, layer 5",0
257,"Orbital area, layer 6a",0
258,"Orbital area, layer 6b",0
259,"Orbital area, lateral part",0
260,"Orbital area, lateral part, layer 1",0
261,"Orbital area, lateral part, layer 2/3",0
262,"Orbital area, lateral part, layer 5",0
263,"Orbital area, lateral part, layer 6a",0
264,"Orbital area, lateral part, layer 6b",0
265,"Orbital area, medial part",0
266,"Orbital area, medial part, layer 1",0
267,"Orbital area, medial part, layer 2",0
268,"Orbital area, medial part, layer 2/3",0
269,"Orbital area, medial part, layer 5",0
270,"Orbital area, medial part, layer 6a",0
271,"Orbital area, medial part, layer 6b",0
272,"Orbital area, ventral part",0
273,"Orbital area, ventrolateral part",0
274,"Orbital area, ventrolateral part, layer 1",0
275,"Orbital area, ventrolateral part, layer 2/3",0
276,"Orbital area, ventrolateral part, layer 5",0
277,"Orbital area, ventrolateral part, layer 6a",0
278,"Orbital area, ventrolateral part, layer 6b",0
279,Agranular insular area,0
280,"Agranular insular area, dorsal part",0
281,"Agranular insular area, dorsal part, layer 1",0
282,"Agranular insular area, dorsal part, layer 2/3",0
283,"Agranular insular area, dorsal part, layer 5",0
284,"Agranular insular area, dorsal part, layer 6a",0
285,"Agranular insular area, dorsal part, layer 6b",0
286,"Agranular insular area, posterior part",0
287,"Agranular insular area, posterior part, layer 1",0
288,"Agranular insular area, posterior part, layer 2/3",0
289,"Agranular insular area, posterior part, layer 5",0
290,"Agranular insular area, posterior part, layer 6a",0
291,"Agranular insular area, posterior part, layer 6b",0
292,"Agranular insular area, ventral part",0
293,"Agranular insular area, ventral part, layer 1",0
294,"Agranular insular area, ventral part, layer 2/3",0
295,"Agranular insular area, ventral part, layer 5",0
296,"Agranular insular area, ventral part, layer 6a",0
297,"Agranular insular area, ventral part, layer 6b",0
298,Retrosplenial area,0
299,"Retrosplenial area, lateral agranular part",0
300,"Retrosplenial area, lateral agranular part, layer 1",0
301,"Retrosplenial area, lateral agranular part, layer 2/3",0
302,"Retrosplenial area, lateral agranular part, layer 5",0
303,"Retrosplenial area, lateral agranular part, layer 6a",0
304,"Retrosplenial area, lateral agranular part, layer 6b",0
305,Mediomedial anterior visual area,0
306,"Mediomedial anterior visual area, layer 1",0
307,"Mediomedial anterior visual area, layer 2/3",0
308,"Mediomedial anterior visual area, layer 4",0
309,"Mediomedial anterior visual area,layer 5",0
310,"Mediomedial anterior visual area, layer 6a",0
311,"Mediomedial anterior visual area, layer 6b",0
312,Mediomedial posterior visual area,0
313,"Mediomedial posterior visual area, layer 1",0
314,"Mediomedial posterior visual area, layer 2/3",0
315,"Mediomedial posterior visual area, layer 4",0
316,"Mediomedial posterior visual area,layer 5",0
317,"Mediomedial posterior visual area, layer 6a",0
318,"Mediomedial posterior visual area, layer 6b",0
319,Medial visual area,0
320,"Medial visual area, layer 1",0
321,"Medial visual area, layer 2/3",0
322,"Medial visual area, layer 4",0
323,"Medial visual area,layer 5",0
324,"Medial visual area, layer 6a",0
325,"Medial visual area, layer 6b",0
326,"Retrosplenial area, dorsal part",0
327,"Retrosplenial area, dorsal part, layer 1",0
328,"Retrosplenial area, dorsal part, layer 2/3",0
329,"Retrosplenial area, dorsal part, layer 4",0
330,"Retrosplenial area, dorsal part, layer 5",0
331,"Retrosplenial area, dorsal part, layer 6a",0
332,"Retrosplenial area, dorsal part, layer 6b",0
333,"Retrosplenial area, ventral part",0
334,"Retrosplenial area, ventral part, layer 1",0
335,"Retrosplenial area, ventral part, layer 2",0
336,"Retrosplenial area, ventral part, layer 2/3",0
337,"Retrosplenial area, ventral part, layer 5",0
338,"Retrosplenial area, ventral part, layer 6a",0
339,"Retrosplenial area, ventral part, layer 6b",0
340,Posterior parietal association areas,0
341,"Posterior parietal association areas, layer 1",0
342,"Posterior parietal association areas, layer 2/3",0
343,"Posterior parietal association areas, layer 4",0
344,"Posterior parietal association areas, layer 5",0
345,"Posterior parietal association areas, layer 6a",0
346,"Posterior parietal association areas, layer 6b",0
347,Anterior area,0
348,"Anterior area, layer 1",0
349,"Anterior area, layer 2/3",0
