Common label,Object count
Abducens nucleus,0
Accessory abducens nucleus,0
Accessory facial motor nucleus,0
Accessory olfactory bulb,0
Accessory supraoptic group,0
Accessory trigeminal nucleus,0
Agranular insular area,0
Ammon's horn,0
Ansiform lobule,0
Anterior amygdalar area,0
Anterior area,0
Anterior cingulate area,0
Anterior group of the dorsal thalamus,0
Anterior hypothalamic area,0
Anterior hypothalamic nucleus,0
Anterior olfactory nucleus,0
Anterior pretectal nucleus,0
Anterior tegmental nucleus,0
Anterodorsal nucleus,0
Anterodorsal preoptic nucleus,0
Anterolateral visual area,0
Anteromedial nucleus,0
Anteromedial visual area,0
Anteroventral nucleus of thalamus,0
Anteroventral periventricular nucleus,0
Anteroventral preoptic nucleus,0
Arcuate hypothalamic nucleus,0
Area postrema,0
Area prostriata,0
Auditory areas,0
Barrington's nucleus,0
Basic cell groups and regions,0
Basolateral amygdalar nucleus,0
Basomedial amygdalar nucleus,0
Bed nuclei of the stria terminalis,0
Bed nucleus of the accessory olfactory tract,0
Bed nucleus of the anterior commissure,0
Brain stem,0
Caudoputamen,0
Central amygdalar nucleus,0
Central lateral nucleus of the thalamus,0
Central linear nucleus raphe,0
Central lobule,0
Central medial nucleus of the thalamus,0
Cerebellar cortex,0
Cerebellar nuclei,0
Cerebellum,0
Cerebral cortex,0
Cerebral nuclei,0
Cerebrum,0
Claustrum,0
Clear Label,0
Cochlear nuclei,0
Cochlear nucleus,0
Copula pyramidis,0
Cortical amygdalar area,0
Cortical plate,0
Cortical subplate,0
Crus 1,0
Crus 2,0
Culmen,0
Cuneate nucleus,0
Cuneiform nucleus,0
Declive (VI),0
Dentate gyrus,0
Dentate gyrus crest,0
Dentate gyrus lateral blade,0
Dentate gyrus medial blade,0
Dentate nucleus,0
Diagonal band nucleus,0
Dopaminergic A13 group,0
Dorsal auditory area,0
Dorsal cochlear nucleus,0
Dorsal column nuclei,0
Dorsal motor nucleus of the vagus nerve,0
Dorsal nucleus raphe,0
Dorsal part of the lateral geniculate complex,0
Dorsal peduncular area,0
Dorsal premammillary nucleus,0
Dorsal tegmental nucleus,0
Dorsal terminal nucleus of the accessory optic tract,0
Dorsomedial nucleus of the hypothalamus,0
Ectorhinal area,0
Ectorhinal area/Layer 1,0
Ectorhinal area/Layer 2/3,0
Ectorhinal area/Layer 5,0
Ectorhinal area/Layer 6a,0
Ectorhinal area/Layer 6b,0
Edinger-Westphal nucleus,0
Efferent cochlear group,0
Efferent vestibular nucleus,0
Endopiriform nucleus,0
Entorhinal area,0
Epithalamus,0
Ethmoid nucleus of the thalamus,0
External cuneate nucleus,0
Facial motor nucleus,0
Fasciola cinerea,0
Fastigial nucleus,0
Field CA1,1
Field CA2,0
Field CA3,0
Fields of Forel,0
Flocculus,0
Folium-tuber vermis (VII),0
Frontal pole,0
Fundus of striatum,0
Geniculate group,0
Gigantocellular reticular nucleus,0
Globus pallidus,0
Gracile nucleus,0
Granular lamina of the cochlear nuclei,0
Gustatory areas,0
Hemispheric regions,0
Hindbrain,0
Hippocampal formation,0
Hippocampal region,0
Hippocampo-amygdalar transition area,0
Hypoglossal nucleus,0
Hypothalamic lateral zone,0
Hypothalamic medial zone,0
Hypothalamus,0
Induseum griseum,0
Inferior colliculus,0
Inferior olivary complex,0
Inferior salivatory nucleus,0
Infracerebellar nucleus,0
Infralimbic area,0
Interanterodorsal nucleus of the thalamus,0
Interanteromedial nucleus of the thalamus,0
Interbrain,0
Intercalated amygdalar nucleus,0
Intercollicular nucleus,0
Interfascicular nucleus raphe,0
Intergeniculate leaflet of the lateral geniculate complex,0
Intermediate geniculate nucleus,0
Intermediate reticular nucleus,0
Intermediodorsal nucleus of the thalamus,0
Interpeduncular fossa,0
Interpeduncular nucleus,0
Interposed nucleus,0
Interstitial nucleus of Cajal,0
Interstitial nucleus of the vestibular nerve,0
Intertrigeminal nucleus,0
Intralaminar nuclei of the dorsal thalamus,0
Islands of Calleja,0
Isocortex,0
Koelliker-Fuse subnucleus,0
Lateral amygdalar nucleus,0
Lateral dorsal nucleus of thalamus,0
Lateral group of the dorsal thalamus,0
Lateral habenula,0
Lateral hypothalamic area,0
Lateral mammillary nucleus,0
Lateral posterior nucleus of the thalamus,0
Lateral preoptic area,0
Lateral reticular nucleus,0
Lateral septal complex,0
Lateral septal nucleus,0
Lateral strip of striatum,0
Lateral tegmental nucleus,0
Lateral terminal nucleus of the accessory optic tract,0
Lateral vestibular nucleus,0
Lateral visual area,0
Laterodorsal tegmental nucleus,0
Laterointermediate area,0
Laterolateral anterior visual area,0
